Applicant ID,Name,Budget,Primary Skill,Secondary Skill,Project Location,Company,Time Zone,Work Hours,Avablity
134373,Waugh,7.5 LPA,React JS,Java,Colombia,UnitedHealth Group,Eastren Standrad Time,Night Shift-10 pm to 7 am,Part Time
134375,Grant,8 LPA,PHP,CSS,Colombia,UnitedHealth Group,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134376,Jones,9 LPA,Java,HTML,Alberta,UnitedHealth Group,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134377,Andy,10 LPA,"HTML,CSS",PHP,British Colombia,UnitedHealth Group,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134378,Flower,12 LPA,Java,HTML,Alberta,UnitedHealth Group,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134379,Ian,13 LPA,"HTML,CSS",SQL,British Colombia,Destination XL Group,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134380,Chappel,8 LPA,Java,React JS,Alberta,Destination XL Group,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134381,Matthew,12 LPA,Python,Angular JS,Alberta,Destination XL Group,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134382,Hayden,13 LPA,Angular JS,Ruby,Alberta,Destination XL Group,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134383,Adam,8 LPA,"C, C++",Java,British  Colombia,UnitedHealth Group,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134386,Gilchrist,9 LPA,"HTML,CSS",SQL,British Colombia,"Healthstat, Inc.",Mountain Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134392,Glenn,8 LPA,Node JS,PHP,Alberta,UnitedHealth Group,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134393,McGrath,6.5 LPA,PHP,Perl,Alberta,Ensign Therapy,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134406,Jason,9 LPA,SQL,CSS,Alberta,Fifth Third Bank,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134408,Gillesspie,10 LPA,React JS,Java,Alberta,Spartanburg Regional Healthcare,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134410,Brett,7.5 LPA,Perl,Angular JS,Alberta,HCA-MidAmerica,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134411,Lee,8 LPA,AWS,CSS,Alberta,HCA-MidAmerica,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134412,Andy,9 LPA,"HTML,CSS",Perl,British Colombia,HCA-MidAmerica,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134413,Bichel,8 LPA,"C, C++",Angular JS,British  Colombia,HCA-MidAmerica,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134414,Michael,9 LPA,AWS,HTML,Alberta,HCA-MidAmerica,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134415,Kasporwichz,8 LPA,"HTML,CSS",SQL,British Colombia,HCA-MidAmerica,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134417,Balwinder,9 LPA,"C, C++",AWS,British  Colombia,Goodwill of Greater Washington,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134418,Sandhu,10 LPA,"HTML,CSS",SQL,British Colombia,Goodwill of Greater Washington,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134419,Kapil,11 LPA,Perl,Angular JS,Alberta,Goodwill of Greater Washington,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134420,Dev,12 LPA,GIT,Angular JS,Alberta,Goodwill of Greater Washington,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134421,Sunil,8 LPA,"HTML,CSS",AWS,British Colombia,Goodwill of Greater Washington,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134422,Gavaskar,9 LPA,PHP,CSS,Alberta,Goodwill of Greater Washington,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134423,Kriss,8 LPA,Java,HTML,Alberta,Devereux,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134426,Srikanth,9 LPA,"HTML,CSS",PHP,British Colombia,Parallon,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134427,Danny,8 LPA,Java,HTML,Alberta,Parallon,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134428,Morrison,9 LPA,"HTML,CSS",SQL,British Colombia,Parallon,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134429,Martin,8 LPA,"HTML,CSS",Perl,British Colombia,Parallon,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134430,Crowe,9 LPA,GIT,CSS,Alberta,Parallon,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134433,Joel,9 LPA,Perl,GIT,Alberta,Parallon,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134436,Garner,8 LPA,AWS,Azure,Alberta,Parallon,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134437,Gordon,7.5 LPA,AWS,GIT,Alberta,Parallon,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134438,Grinidge,3 LPA,Docker,Kotlin,Alberta,MGM Resorts International,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134439,Steven,9 LPA,"HTML,CSS",Perl,Peru,MGM Resorts International,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134440,Harmission,9 LPA,GIT,CSS,Peru,MGM Resorts International,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134441,Marcus,8 LPA,Perl,GIT,Colombia,MGM Resorts International,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134442,Terscotick,7.5 LPA,AWS,Azure,Brazil,MGM Resorts International,Eastren Standrad Time,Night Shift-10 pm to 7 am,Part Time
134443,Andrew,3 LPA,AWS,GIT,Brazil,Macy's,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134444,Srtrauss,9 LPA,Docker,Kotlin,Argentina,Macy's,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134445,Jimmy,9 LPA,Java,React JS,Argentina,Macy's,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134446,Anderson,5 LPA,Python,Angular JS,Argentina,Fairfield Behavioral Health Services,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134447,Stuart,5 LPA,Angular JS,Ruby,Argentina,Sava Senior Care,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134448,Board,4 LPA,"C, C++",Java,Argentina,BrightKey Inc.,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134449,Chris,5 LPA,"HTML,CSS",Perl,Argentina,Macy's,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134450,Board,2 LPA,Node JS,PHP,Argentina,Macy's,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134451,Darren,5 LPA,Perl,SQL,Argentina,Hofmann Services,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134452,Gough,6.5 LPA,SQL,CSS,Argentina,Macy's,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134453,Monty,3 LPA,React JS,AWS,Argentina,Vista College,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134454,Panesar,3 LPA,Java,Angular JS,Colombia,Convergys,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134455,Chris,2 LPA,Angular JS,CSS,Colombia,DENISON UNIVERSITY,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134456,Woaks,10 LPA,"HTML,CSS",React JS,Colombia,Macy's,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134457,Steven,15 LPA,"C, C++",AWS,Colombia,"Forward Air, Inc.",Eastren Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134458,Gerrad,12 LPA,React JS,HTML,Colombia,West Suburban Nursing and Rehabilitation Center,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134459,Wasim,15 LPA,"HTML,CSS",SQL,Colombia,Macy's,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134460,Akram,8 LPA,AWS,PHP,Colombia,Macy's,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134461,Waqr,8 LPA,"HTML,CSS",SQL,Colombia,Macy's,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134462,Younis,9 LPA,Java,Angular JS,Colombia,Securitas USA,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134463,Saqlain,8.5 LPA,Java,Angular JS,Colombia,Amerigas,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134465,Maustq,7.5 LPA,React JS,Java,Colombia,Macy's,Eastren Standrad Time,Night Shift-10 pm to 7 am,Part Time
134466,Shane,8 LPA,PHP,CSS,Colombia,Macy's,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134467,Bond,9 LPA,Java,HTML,Alberta,ALERE,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134470,Shane,10 LPA,"HTML,CSS",PHP,British Colombia,ALERE,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134471,Warne,12 LPA,Java,HTML,Alberta,Macy's,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134472,Paul,13 LPA,"HTML,CSS",SQL,British Colombia,Sava Senior Care,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134473,Strang,8 LPA,Java,React JS,Alberta,Midwest CareCenter,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134474,Shaun,12 LPA,Python,Angular JS,Alberta,Macy's,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134475,Pollouck,13 LPA,Angular JS,Ruby,Alberta,ALDI,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134477,Nike,8 LPA,"C, C++",Java,British  Colombia,Macy's,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134478,Boyje,9 LPA,"HTML,CSS",SQL,British Colombia,Macy's,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134479,Makhya,8 LPA,Node JS,PHP,Alberta,Macy's,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134480,Nitini,6.5 LPA,PHP,Perl,Alberta,Banfield Pet Hospital,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134481,Lungi,9 LPA,SQL,CSS,Alberta,Brookdale,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134482,Ngidi,10 LPA,React JS,Java,Alberta,Express Employment Professionals,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134483,Hamilton,7.5 LPA,Perl,Angular JS,Alberta,Macy's,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134484,Masakadza,8 LPA,AWS,CSS,Alberta,Macy's,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134485,Tatenda,9 LPA,"HTML,CSS",Perl,British Colombia,Macy's,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134486,Taibu,8 LPA,"C, C++",Angular JS,British  Colombia,Golden Living Centers,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134487,Heath,9 LPA,AWS,HTML,Alberta,Banfield Pet Hospital,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134488,Streak,8 LPA,"HTML,CSS",SQL,British Colombia,Macy's,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134489,Henry,9 LPA,"C, C++",AWS,British  Colombia,Macy's,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134490,Olanga,10 LPA,"HTML,CSS",SQL,British Colombia,Burnett Specialists,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134491,Douglas,11 LPA,Perl,Angular JS,Alberta,ALERE,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134492,Hondo,12 LPA,GIT,Angular JS,Alberta,ALERE,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134493,Morne,8 LPA,"HTML,CSS",AWS,British Colombia,ALDI,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134494,Morkel,9 LPA,PHP,CSS,Alberta,"Food Source Operating, LP",Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134495,Albie,8 LPA,Java,HTML,Alberta,ALERE,Mountain Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134496,Morkel,9 LPA,"HTML,CSS",PHP,British Colombia,Rasmussen College,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134497,Alvero,8 LPA,Java,HTML,Alberta,Banfield Pet Hospital,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134498,Pertersan,9 LPA,"HTML,CSS",SQL,British Colombia,Kelly Services,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134499,Andrew,8 LPA,"HTML,CSS",Perl,British Colombia,Bayside Search Group,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134500,Filntoff,9 LPA,GIT,CSS,Alberta,American Family Insurance - Agency Support,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134501,Yuvraj,9 LPA,Perl,GIT,Alberta,American Family Insurance - Agency Support,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134502,Singh,8 LPA,AWS,Azure,Alberta,American Family Insurance - Agency Support,Mountain Standrad Time,Night Shift-10 pm to 7 am,Part Time
134503,Harbhajan,7.5 LPA,AWS,GIT,Alberta,American Family Insurance - Agency Support,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134504,Singh,3 LPA,Docker,Kotlin,Alberta,American Family Insurance - Agency Support,Mountain Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134505,Amit Kumar,5 LPA,Java,React JS,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134507,Aniket M,5 LPA,Python,Angular JS,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134509,Sandeep,4 LPA,Angular JS,Ruby,India,Banfield Pet Hospital,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134510,Sandesh,5 LPA,"C, C++",Java,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134511,Sumant,2 LPA,"HTML,CSS",Perl,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134512,Vijay,5 LPA,Node JS,PHP,India,"The Village for Families & Children, Inc.",Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134513,Dilip,6.5 LPA,Perl,SQL,India,Macy's,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134516,Suraj,3 LPA,SQL,CSS,India,Macy's,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134517,Ranga,3 LPA,React JS,AWS,India,Macy's,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134518,Rajesh,2 LPA,Java,Angular JS,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134520,Sunil,10 LPA,Angular JS,CSS,India,Pineville Rehabilitation & Living Center,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134521,Ankit,15 LPA,"HTML,CSS",React JS,India,BAYADA HOME HEALTH CARE,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134523,Varun,12 LPA,"C, C++",AWS,India,Charmer Sunbelt Group,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134525,Aditya,15 LPA,React JS,HTML,India,Burpee Garden Products,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134526,Sourav,8 LPA,"HTML,CSS",SQL,India,Burpee Garden Products,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134527,Sachin,8 LPA,AWS,PHP,India,Remington College,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134528,Rahul,9 LPA,"HTML,CSS",SQL,India,Burpee Garden Products,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134529,Laxman,8.5 LPA,Java,Angular JS,India,Burpee Garden Products,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134530,Virender,7.5 LPA,Java,Angular JS,India,Burpee Garden Products,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134531,Mahender,8 LPA,React JS,Java,India,Burpee Garden Products,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134532,Ajit,9 LPA,PHP,CSS,India,Burpee Garden Products,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134534,Zaheer,10 LPA,Java,HTML,India,Examination Management Services,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134535,Balaji,12 LPA,"HTML,CSS",PHP,India,Examination Management Services,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134536,Anil,13 LPA,Java,HTML,India,Examination Management Services,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
